OrderID,Date,Region,Product,Channel,Quantity,UnitPrice,Revenue,Customer
ORD-1000,2024-11-07,north,Widget A,Online,31.0,55.04,$1706.24,Customer 54
ORD-1001,2/1/2024,South,widget a,online,7.0,70.61,$494.27,Customer 47
ORD-1002,11-22-2024,EAST,Widget B,Retail,22.0,209.10,$4600.20,Customer 20
ORD-1003,2024-11-22,,WIDGET B,RETAIL,42.0,18.79,$789.18,Customer 9
ORD-1004,16/11/2024,North,Gadget,Partner,23.0,112.82,$2594.86,Customer 59
ORD-1005,01-04-2024,,gadget ,Online,48.0,83.91,$4027.68,Customer 41
ORD-1006,2024-08-07,north,Sprocket,online,8.0,111.96,$895.68,Customer 2
ORD-1007,1/9/2024,South,Widget A,Retail,12.0,184.27,$2211.24,Customer 32
ORD-1008,02-05-2024,EAST,widget a,RETAIL,3.0,40.04,$120.12,Customer 34
ORD-1009,2024-11-18, west ,Widget B,Partner,22.0,145.29,$3196.38,Customer 36
ORD-1010,28/4/2024,North,WIDGET B,Online,12.0,,N/A,Customer 0
ORD-1011,08-09-2024,south,Gadget,online,25.0,36.32,$908.00,Customer 52
ORD-1012,2024-07-19,north,gadget ,Retail,45.0,48.49,$2182.05,Customer 2
ORD-1013,29/2/2024,South,Sprocket,RETAIL,48.0,85.26,$4092.48,Customer 38
ORD-1014,08-23-2024,EAST,Widget A,Partner,2.0,119.53,$239.06,Customer 3
ORD-1015,2024-01-09, west ,widget a,Online,40.0,203.43,$8137.20,Customer 1
ORD-1016,27/1/2024,North,Widget B,online,26.0,128.06,$3329.56,Customer 54
ORD-1017,06-20-2024,,WIDGET B,Retail,39.0,196.68,$7670.52,Customer 54
ORD-1018,2024-09-02,,Gadget,RETAIL,40.0,173.05,$6922.00,Customer 29
ORD-1019,18/9/2024,South,gadget ,Partner,5.0,49.70,$248.50,Customer 43
ORD-1020,05-10-2024,EAST,Sprocket,Online,17.0,78.01,$1326.17,Customer 13
ORD-1021,2024-05-26, west ,Widget A,online,8.0,189.31,$1514.48,Customer 30
ORD-1022,1/10/2024,North,widget a,Retail,21.0,194.55,$4085.55,Customer 9
ORD-1023,06-20-2024,south,Widget B,RETAIL,37.0,145.29,$5375.73,Customer 15
ORD-1024,2024-10-30,north,WIDGET B,Partner,48.0,50.58,$2427.84,Customer 17
ORD-1025,29/10/2024,South,Gadget,Online,30.0,105.84,$3175.20,Customer 6
ORD-1025,29/10/2024,South,Gadget,Online,30.0,105.84,$3175.20,Customer 6
ORD-1026,05-03-2024,EAST,gadget ,online,16.0,135.62,$2169.92,Customer 44
ORD-1027,2024-01-21, west ,Sprocket,Retail,1.0,156.00,$156.00,Customer 45
ORD-1028,17/8/2024,,Widget A,RETAIL,40.0,193.13,$7725.20,  
ORD-1029,05-23-2024,south,widget a,Partner,1.0,47.50,$47.50,  
ORD-1030,2024-04-10,north,Widget B,Online,29.0,14.22,$412.38,Customer 51
ORD-1031,26/6/2024,South,WIDGET B,online,22.0,48.25,$1061.50,  
ORD-1032,08-05-2024,EAST,Gadget,Retail,23.0,20.14,$463.22,Customer 57
ORD-1033,2024-02-20, west ,gadget ,RETAIL,6.0,72.74,$436.44,Customer 18
ORD-1034,12/2/2024,North,Sprocket,Partner,37.0,124.73,$4615.01,Customer 52
ORD-1035,09-18-2024,south,Widget A,Online,5.0,174.78,$873.90,Customer 5
ORD-1036,2024-08-26,north,widget a,online,23.0,15.34,$352.82,Customer 53
ORD-1037,24/2/2024,South,Widget B,Retail,28.0,60.55,$1695.40,Customer 35
ORD-1038,02-03-2024,EAST,WIDGET B,RETAIL,42.0,176.11,$7396.62,Customer 8
ORD-1039,2024-08-06, west ,Gadget,Partner,27.0,75.97,$2051.19,Customer 20
ORD-1040,5/9/2024,North,gadget ,Online,43.0,,N/A,Customer 17
ORD-1041,06-14-2024,south,Sprocket,online,7.0,,N/A,Customer 50
ORD-1042,2024-04-11,north,Widget A,Retail,24.0,96.96,$2327.04,Customer 37
ORD-1043,11/4/2024,South,widget a,RETAIL,35.0,165.29,$5785.15,Customer 20
ORD-1044,05-02-2024,EAST,Widget B,Partner,,161.49,N/A,Customer 44
ORD-1045,2024-06-25, west ,WIDGET B,Online,32.0,46.85,$1499.20,Customer 53
ORD-1046,12/2/2024,North,Gadget,online,36.0,178.61,$6429.96,Customer 18
ORD-1047,07-30-2024,south,gadget ,Retail,43.0,154.26,$6633.18,Customer 45
ORD-1048,2024-04-22,north,Sprocket,RETAIL,,118.47,N/A,Customer 25
ORD-1049,7/1/2024,South,Widget A,Partner,36.0,193.89,$6980.04,Customer 1
ORD-1050,09-07-2024,EAST,widget a,Online,7.0,175.06,$1225.42,Customer 8
ORD-1050,09-07-2024,EAST,widget a,Online,7.0,175.06,$1225.42,Customer 8
ORD-1051,2024-05-23, west ,Widget B,online,5.0,45.36,$226.80,Customer 55
ORD-1052,4/9/2024,North,WIDGET B,Retail,23.0,163.82,$3767.86,Customer 54
ORD-1053,02-20-2024,south,Gadget,RETAIL,2.0,153.95,$307.90,  
